gene,mean_vst,min_vst,max_vst,min_percentile,mean_percentile,expression_category
Amblyomma-americanum_evm.model.contig-106960-1.1,2.86053233818091,1.8248094036372007,3.7267666194664875,4,14,always
Amblyomma-americanum_evm.model.contig-107002-1.1,2.48022174339738,1.8077043853632215,3.5353327914563306,4,10,always
Amblyomma-americanum_evm.model.contig-107002-1.2,3.2668870168124795,1.8433619781811206,3.7533076777132006,4,21,always
Amblyomma-americanum_evm.model.contig-107080-1.3,6.9924286588227185,5.469398134834206,8.077441446819533,66,86,always
Amblyomma-americanum_evm.model.contig-107103-1.1,5.211886043066672,3.8969861272948982,5.952289172499841,34,62,always
Amblyomma-americanum_evm.model.contig-10717-1.6,6.655900334951333,4.6295524172966465,8.235232586801407,50,83,always
evm.TU.contig_107252_1.3,4.698032408774228,3.8593495624426324,5.410333086726427,34,52,always
Amblyomma-americanum_evm.model.contig-107309-1.1,5.765980562540181,5.173247439741872,6.1703877954981605,61,71,always
Amblyomma-americanum_evm.model.contig-107309-1.2,7.601702802363312,5.017590798406548,9.409539271638987,58,91,always
Amblyomma-americanum_evm.model.contig-107309-1.5,7.252454545971188,6.536027722177335,8.677988409410629,82,88,always
Amblyomma-americanum_evm.model.contig-107309-1.6,4.144294927510595,1.9235647568562093,5.595466611822544,5,39,always
Amblyomma-americanum_evm.model.contig-107466-1.1,5.347754987240353,4.011656157103077,6.4510738804751755,37,64,always
Amblyomma-americanum_evm.model.contig-107762-1.4,5.671572690585315,4.533518641420757,6.366975664264955,48,70,always
Amblyomma-americanum_evm.model.contig-107993-1.2,3.6630445081204726,0.9755116687481646,5.621339246570137,1,30,always
Amblyomma-americanum_evm.model.contig-108309-1.4,4.050817280076292,2.298520548865656,5.23277613372257,8,38,always
Amblyomma-americanum_evm.model.contig-10837-1.2,3.8056598656251914,2.5220589132046536,5.102067227813142,10,33,always
Amblyomma-americanum_evm.model.contig-108725-1.6,2.034918447595814,0.5377364315677575,4.177675067201774,0,6,always
Amblyomma-americanum_evm.model.contig-108730-1.2,6.882390173287135,4.656007373239386,8.486462986744812,51,85,always
Amblyomma-americanum_evm.model.contig-108980-1.1,4.592450717400427,4.205211562027357,4.972174659996694,41,49,always
Amblyomma-americanum_evm.model.contig-109107-1.1,3.5520952701824395,2.5616877156968583,4.387080992095068,11,28,always
Amblyomma-americanum_evm.model.contig-109107-1.2,5.652735607903626,1.8721752284202005,8.732325520452349,5,69,always
Amblyomma-americanum_evm.model.contig-109107-1.5,2.21121217663388,0.9294483793850955,3.876737962732903,1,7,always
Amblyomma-americanum_evm.model.contig-10937-1.1,4.749889106860235,3.1538455905674763,5.4428810042108005,19,53,always
evm.TU.contig_109416_1.2,2.87766343420017,1.1156790882641312,5.696767934928708,1,15,always
Amblyomma-americanum_evm.model.contig-109655-1.2,4.267016178696392,1.5098819100645684,6.099987928291012,3,42,always
Amblyomma-americanum_evm.model.contig-109676-1.1,3.0177490664950892,1.6741216066256628,4.646243419514525,4,17,always
Amblyomma-americanum_evm.model.contig-109785-1.1,6.442985602416448,5.027101222630144,7.787660386280973,58,81,always
Amblyomma-americanum_evm.model.contig-110090-1.2,2.4113112895684625,0.3280194270909442,5.080825717281507,0,9,always
Amblyomma-americanum_evm.model.contig-11022-1.1,5.2951898135903965,3.674639857227194,6.090249844494609,30,63,always
Amblyomma-americanum_evm.model.contig-110314-1.1,4.7240347651980725,3.6459140504272725,5.590472076154442,30,52,always
Amblyomma-americanum_evm.model.contig-110379-1.1,8.47844039302577,4.628766670199848,12.355582214555714,50,95,always
Amblyomma-americanum_evm.model.contig-110380-1.1,8.630481203330941,5.684255946986407,13.131488670321703,70,95,always
Amblyomma-americanum_evm.model.contig-110380-1.2,8.080860157902444,3.257456280839671,10.396461229805396,21,93,always
Amblyomma-americanum_evm.model.contig-110385-1.2,4.438622636432448,3.509759078246276,5.677824299931136,27,46,always
Amblyomma-americanum_evm.model.contig-110450-1.1,2.784657792349092,0.9498503915445183,3.7761499031982537,1,14,always
Amblyomma-americanum_evm.model.contig-110609-1.2,3.4829383497004844,2.5318180367644936,4.135763793714725,10,26,always
Amblyomma-americanum_evm.model.contig-110753-1.1,3.7658991528871777,2.089374823150743,5.064717407381867,6,32,always
Amblyomma-americanum_evm.model.contig-110753-1.2,7.003647746136044,6.031780535971084,8.536317454000095,75,86,always
Amblyomma-americanum_evm.model.contig-110755-1.1,4.746358557236775,4.233384660727306,5.667136309034742,41,53,always
Amblyomma-americanum_evm.model.contig-11086-1.1,2.745680370059745,0.6704203999009944,5.806150119599664,0,13,always
Amblyomma-americanum_evm.model.contig-110922-1.1,4.514836298706084,3.6297565485592527,5.952739146299016,29,48,always
Amblyomma-americanum_evm.model.contig-110922-1.2,6.348351928059994,4.2385350270264075,7.276895895431283,42,79,always
Amblyomma-americanum_evm.model.contig-111585-1.2,4.79838914083525,3.306226167637997,5.709298180616976,22,54,always
Amblyomma-americanum_evm.model.contig-111720-1.6,5.244159667448842,2.6105321042925853,7.231868139963833,11,62,always
Amblyomma-americanum_evm.model.contig-111720-1.7,3.480435202046988,0.9783525331868388,5.478059971563401,1,26,always
Amblyomma-americanum_evm.model.contig-111728-1.2,3.64445428216316,2.55963094401578,5.044828256331383,11,30,always
Amblyomma-americanum_evm.model.contig-111728-1.3,5.814478171105305,3.8044783971343543,7.125008425710697,33,72,always
Amblyomma-americanum_evm.model.contig-111792-1.1,3.0791815977493573,1.500766344161538,5.941780920686889,3,18,always
Amblyomma-americanum_evm.model.contig-111832-1.1,4.7986607153021135,3.3576225261064687,5.808738036745908,23,54,always
Amblyomma-americanum_evm.model.contig-111837-1.1,4.278354173556485,3.3088230921534176,4.954309415623334,22,43,always
Amblyomma-americanum_evm.model.contig-111933-1.1,3.868657191517074,3.1297032881251052,5.228523379602795,19,34,always
Amblyomma-americanum_evm.model.contig-111939-1.1,6.691249313210838,4.856061894607,8.35668790948679,55,83,always
Amblyomma-americanum_evm.model.contig-112013-1.2,2.793929274390467,1.5021178272119702,4.492003699813993,3,14,always
Amblyomma-americanum_evm.model.contig-112031-1.1,4.408846561736247,3.3647584738262966,5.64351511214324,23,45,always
Amblyomma-americanum_evm.model.contig-112386-1.3,7.4275133231128185,6.4607798855344,8.128868498570071,81,89,always
Amblyomma-americanum_evm.model.contig-112386-1.4,5.496730213663727,4.975337539594606,6.2975406429343925,57,67,always
Amblyomma-americanum_evm.model.contig-112445-1.1,2.4851288150451825,0.7252809739539333,4.5084456964600985,0,10,always
evm.TU.contig_112481_1.7,3.7468250325062273,1.7346201135580677,5.413240499573411,4,31,always
Amblyomma-americanum_evm.model.contig-112488-1.2,4.233050058593555,3.39251334373094,4.85500767815462,24,41,always
Amblyomma-americanum_evm.model.contig-112546-1.1,4.246321270344426,2.557132246590152,6.066512752217005,11,42,always
Amblyomma-americanum_evm.model.contig-112562-1.3,6.389710558691766,5.442717258634084,7.130342513835623,66,80,always
Amblyomma-americanum_evm.model.contig-113145-1.4,6.433964644290179,5.408497374715117,7.260881611336392,65,80,always
Amblyomma-americanum_evm.model.contig-113175-1.1,6.5631682437292715,4.147747480989285,8.92751200416324,40,82,always
Amblyomma-americanum_evm.model.contig-113222-1.2,4.321679628314294,2.6693189386607754,6.278173590291126,12,43,always
Amblyomma-americanum_evm.model.contig-11330-1.1,4.040137002764673,2.6458820480035086,5.227227259481961,12,37,always
Amblyomma-americanum_evm.model.contig-113640-1.1,4.646869379623006,3.6000977727470964,5.769747467274917,29,51,always
Amblyomma-americanum_evm.model.contig-113887-1.1,2.958222211078246,2.2658237071092246,4.435576362857045,8,16,always
Amblyomma-americanum_evm.model.contig-114006-1.8,2.4529012428533377,0.9897427923417698,4.406013827434782,1,10,always
Amblyomma-americanum_evm.model.contig-114012-1.1,7.30604618767178,4.323301901477966,11.646565795552146,43,88,always
Amblyomma-americanum_evm.model.contig-114207-1.1,3.5177890517179993,2.791736271261527,4.157229846599977,14,27,always
Amblyomma-americanum_evm.model.contig-114364-1.2,2.220925204558667,0.39346405756621416,5.0452283790915455,0,7,always
Amblyomma-americanum_evm.model.contig-114451-1.1,3.192018718976611,2.0823199119020144,5.4041673592272135,6,20,always
Amblyomma-americanum_evm.model.contig-11461-1.1,3.482821626814621,2.556619090234556,4.262486634146258,11,26,always
Amblyomma-americanum_evm.model.contig-114823-1.1,4.989462666897034,2.7546369578513716,7.1433599484020025,13,57,always
Amblyomma-americanum_evm.model.contig-114823-1.2,3.29660368552982,2.1909237553377534,4.846551650797753,7,22,always
Amblyomma-americanum_evm.model.contig-114823-1.3,3.142312320352605,1.9607326081174354,4.182383240483278,5,19,always
Amblyomma-americanum_evm.model.contig-114831-1.1,4.83769267414112,3.3172262216506105,7.489542972806427,22,54,always
Amblyomma-americanum_evm.model.contig-114861-1.1,5.206658842616368,0.732024897438449,7.714129862988217,0,62,always
Amblyomma-americanum_evm.model.contig-114861-1.2,4.171908786608865,1.0162732285091645,6.215025236119751,1,40,always
Amblyomma-americanum_evm.model.contig-114861-1.3,3.3731577008499873,2.30486736263763,4.9342790903549085,8,23,always
Amblyomma-americanum_evm.model.contig-114914-1.3,3.5614901403862356,1.5206870684683862,7.0546204481009465,3,28,always
Amblyomma-americanum_evm.model.contig-115059-1.5,1.8643892161776199,0.4342724231334797,4.733014691989506,0,5,always
Amblyomma-americanum_evm.model.contig-115148-1.1,2.7249973062604096,1.4949820036386012,4.246885593846224,3,13,always
Amblyomma-americanum_evm.model.contig-115148-1.3,5.130754479441039,4.064279998954528,6.4272398767451655,38,60,always
Amblyomma-americanum_evm.model.contig-115148-1.5,4.619512080084929,3.0205529297332196,5.622275350499144,17,50,always
Amblyomma-americanum_evm.model.contig-115431-1.1,5.147305453563979,4.121475038776701,6.215349720334594,39,61,always
evm.TU.contig_115501_1.2,6.697779449484286,0.5425445199122018,9.205562559660345,0,83,always
Amblyomma-americanum_evm.model.contig-115501-1.4,7.590750824617115,0.5448826993579048,10.274493985168355,0,91,always
Amblyomma-americanum_evm.model.contig-115517-1.1,5.777564564364272,4.078001656321099,7.18419706210772,38,71,always
Amblyomma-americanum_evm.model.contig-11570-1.3,10.091702723148787,7.424401475156977,12.6570269057971,89,98,always
Amblyomma-americanum_evm.model.contig-116015-1.4,9.410455506699542,6.062225868758364,12.28329076063738,76,97,always
Amblyomma-americanum_evm.model.contig-116356-1.3,4.52637800613813,3.6658704905753403,5.639275756433269,30,48,always
Amblyomma-americanum_evm.model.contig-11653-1.1,3.6293017586572356,1.1557572581937952,6.017751721509637,1,29,always
Amblyomma-americanum_evm.model.contig-116641-1.2,5.115784750151983,4.506020713654087,5.923526015091254,47,60,always
Amblyomma-americanum_evm.model.contig-116641-1.4,5.158124808399716,4.2718357162503064,6.034379441724284,42,61,always
Amblyomma-americanum_evm.model.contig-11672-1.3,5.7052081040167995,3.540494501740997,7.492398057710356,27,70,always
Amblyomma-americanum_evm.model.contig-116741-1.4,5.535552519817178,4.218741521763814,6.9577650134910085,41,67,always
Amblyomma-americanum_evm.model.contig-116742-1.4,3.4751731821577354,2.3229991407322887,5.280308616399009,8,26,always
Amblyomma-americanum_evm.model.contig-116976-1.2,3.614252563552538,2.567297162535349,4.845214244210059,11,29,always
Amblyomma-americanum_evm.model.contig-116976-1.3,5.2325670415414844,3.7294210595735358,6.390610620914862,31,62,always
Amblyomma-americanum_evm.model.contig-117072-1.2,4.7786779814733285,3.9588144050246576,6.270711902646905,36,53,always
Amblyomma-americanum_evm.model.contig-117072-1.4,4.238586546059643,2.0140859220798633,4.939947451076981,6,42,always
Amblyomma-americanum_evm.model.contig-117072-1.5,5.0066735880294075,4.261669164477552,6.058125657279107,42,58,always
Amblyomma-americanum_evm.model.contig-117208-1.2,4.44410888060944,1.5542825284572017,6.683205057532625,3,46,always
Amblyomma-americanum_evm.model.contig-117994-1.2,3.217442291957632,2.5663284795207706,3.762840465439012,11,20,always
Amblyomma-americanum_evm.model.contig-118283-1.1,4.189670763584076,3.2657894961459646,4.776767576131225,21,41,always
Amblyomma-americanum_evm.model.contig-118299-1.4,8.535352546615528,6.921369990599412,10.179117487828501,85,95,always
Amblyomma-americanum_evm.model.contig-118327-1.3,7.3399496385730485,4.8527989925086725,9.519183182093522,55,89,always
Amblyomma-americanum_evm.model.contig-118330-1.2,7.700612774528588,5.178785765628495,9.093591215274245,61,91,always
evm.TU.contig_118404_1.2,2.4059008072330186,0.9983404616359927,3.9782259012627947,1,9,always
