LeidenCluster	LC00	LC01	LC02	LC03	LC04	LC05	LC06	LC07	LC08	LC09	LC10	LC11	LC12	LC13	LC14	LC15	LC16	LC17	LC18	LC19	LC20	LC21	LC22	LC23	LC24	LC25	LC26	LC27	LC28	LC29	LC30	LC31	LC32
LC10	0.00016930295805739514	0.00039314532232219895	0.0005840104438642298	6.302964959568733e-06	5.416391518086434e-06	0.002091455373525557	8.85323211410168e-06	0.0029644085750315263	1.689300826113238e-06	0.00013846505494505496	0.7167999067573696	0.00025092589222525525	6.372551466001247e-05	0.0	1.2134684537430532e-06	0.0003349074321317312	1.5344617467840216e-05	0.0	0.00025234227994227993	0.0	2.358597458275915e-06	3.5911730545876887e-06	1.886791182904257e-05	3.4766688410524026e-05	3.236272499430394e-06	3.6724177593742813e-06	2.4204620462046203e-05	0.021201788905252823	0.0006139281894576012	0.00027606661462399167	0.0021911984585741813	0.0	8.463551401869159e-05
LC11	0.0015707530096595943	0.00018015127006894564	0.0019406938850177113	0.00027307568801826704	0.00011323964027623748	0.0011469642231052416	0.0007141772054524754	0.0014635782845117708	0.0001233527979660956	0.0020344029070716967	0.00046451602466889095	0.15803997209713264	0.00026416770969506486	0.00010371212660957456	8.9657916599863e-05	0.0004177910391491557	0.0002401661786458176	4.938416811426366e-05	0.011152411246220165	0.0	0.00017165912302619451	0.0019296969158954557	0.0013834426413990232	0.0001574848035366315	2.9460884405570963e-05	2.8079838354000638e-05	0.000586834731243825	0.0031971042090747914	0.0003716997627076308	0.004228015964173425	0.004447168366407717	0.0023117809073024405	0.02002072147151616
LC12	0.00022324687816304694	8.001555449221523e-05	8.629059254107426e-05	0.004455439350745653	0.00013022014049158599	0.0021430268719201955	3.271997552897496e-05	8.673472028722941e-05	0.00015194258473401865	0.024378071783674838	0.00024495653982116867	0.0002484372653186104	0.48976652833660683	3.496868985864033e-06	0.001085298232290428	0.001996344019099702	0.0007178671950992362	0.0001023998858674077	0.0007194254995368533	0.0	0.0016002930397787107	6.28549366279689e-05	0.04017556598824201	5.733295447747802e-05	1.1291030275171853e-05	7.848237453325739e-05	0.0004131660469540404	0.0002105253680277315	0.00022765172921093804	0.00035340515904264206	0.00024461493803165304	0.0014358721605704898	6.207403175121413e-06
LC13	0.0004599563773204735	4.940899577215309e-05	0.0007053394547929042	3.8514879068000505e-05	0.00012732701833486728	0.00018844282987500767	0.49890676841854986	0.00015078751153126772	1.4333765614991654e-05	0.00025421166752710375	0.0008583002024075849	0.002424327505379102	1.4944853120756522e-05	0.7189013848225054	1.2837682183281374e-05	1.782443705701562e-05	2.8869662945174252e-05	7.97907768964816e-05	0.0010693098772964545	0.0	3.783781839631125e-05	0.013962646056949543	5.4576643662895955e-06	1.4756928483139756e-05	3.653811159992721e-05	0.0005920295258783733	0.00019549471725696058	0.00027284416153509076	0.0005282262020122265	0.0005280399995110085	0.0008051208441634015	0.0	5.2813146835601824e-06
LC14	0.00099769174534378	0.00011203126264849956	5.450597773807888e-05	0.000626449496999266	0.00017650234650738858	0.0004256985965612076	1.559242308670226e-05	0.00013287028086142764	1.3332698582784919e-05	0.0014391670832599895	0.0003474154952598888	0.0001368425911080665	0.0006326754968872723	0.0	0.8877357780582188	0.0008860654098676191	0.00019777565694578504	0.00016877710890368213	0.0012343942861105333	0.0	0.7203962091724488	1.8696529234007606e-05	0.00019214448011255672	0.001401655120529137	0.0005313413552604206	0.0016994030444731866	4.930103994381132e-05	1.589799240368964e-05	6.827053683965785e-05	3.808255492616074e-05	0.000975650586632452	0.005891139756051478	0.0
LC15	0.0009885009283901714	0.00012253083682087093	0.003026521070740099	0.0006927803561982014	6.907281871462926e-05	0.003364712445339964	4.274346471624001e-05	0.0002396035403236261	0.00012305435456019402	0.003069072358015816	0.0027215055629728527	0.00045300990138301883	0.003190745367914133	6.953417382759414e-06	0.0005349172886503133	0.512718738972836	0.0006668442995083492	0.00012793051720475787	0.000630474653072784	0.0	0.00048686855786278814	0.0002856496466833827	0.004168960569333906	9.843137882473434e-05	8.610931002101686e-05	2.162061492618177e-05	0.001338767002868511	0.0027722215531361402	0.00036930281373381976	0.0003804054951228231	0.000764916941278159	9.25883134699477e-05	8.286749934492096e-06
LC16	7.062132387558457e-05	0.0018067191714816525	8.99988863177954e-05	6.15541446838952e-06	0.00013322282184038148	2.857053567546415e-05	1.6013290747990934e-05	0.00478250061258763	7.092293397683139e-07	1.0838497994896099e-05	1.3899796885578877e-05	1.6190217445990683e-05	0.00020807187648751011	0.0	2.4420054876527815e-05	0.00017279310803029632	0.8413029171626873	2.643526497199483e-05	6.028364210828666e-05	0.0	9.813931515825726e-07	6.0291130670277586e-05	4.955704787902132e-05	0.0	0.000700662146533935	3.030427914005083e-05	2.840199896766928e-05	0.0	2.1105253820614848e-05	0.00029048895449719004	0.0	5.374146702030523e-06	0.0
LC17	6.350325857916918e-05	7.413993254372893e-05	4.075094944220271e-05	3.180681818181818e-05	0.013311251729058692	0.0004188487150750625	1.9498311923583664e-05	0.00012156296572280179	0.00010559671111680986	0.00013053243006993007	0.0	8.47151852924146e-05	0.00020313244342993252	2.162777099857637e-06	0.00016954636467651343	0.00024023802570093458	0.0005472708423093494	0.2981692245609504	3.4057334710743804e-05	0.0	0.0003671389944460684	1.1615061767500792e-05	5.693362512046258e-05	0.00011551707139892072	0.008510523461287516	0.0045652036671058405	0.00014309040279027904	0.0	1.3065143412736994e-05	5.599540486835569e-06	1.0879203888596953e-05	0.0	5.86767204757859e-06
LC18	0.00042250498093517963	0.0011682290724326964	0.0007186442756547195	0.0008363745911949686	9.249591446047532e-05	0.0010858339241034195	0.0005198178524374176	0.0009089369100844511	4.237295379749541e-06	0.00243275034965035	0.000615176911976912	0.010201601749983916	0.00030938520576948524	1.8348586536506e-05	0.0006828095139033354	0.0006748109600679694	0.00012718224903059027	2.1166494490358125e-05	0.4756481147842057	0.0	0.0005097866121017247	9.63340724316334e-05	0.000559713995074419	0.00045516645911166455	0.004208024503407279	0.00019087981261894308	0.0002246908190819082	0.005637577319587629	0.0023590615783503485	0.0004522454048683557	0.0060572205289893145	0.4728926299694189	0.01165780515434721
LC19	3.3338117401021057e-07	3.7774993744830026e-06	1.7217825703869565e-06	0.0	9.60038544653122e-07	0.0	0.0	1.9821268920390882e-06	0.0	1.913312693498452e-06	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.003109107726518993	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
